datatype,_clipped,_debug,_green_area_m2,_green_percentage,_green_pixels,_is_green_roof,_ndvi_avg,_ndvi_max,_ndvi_min,_pixel_area_m2,_total_pixels,geotiff_byte_order,geotiff_compression_method,geotiff_interleaving_type
Generic,yes,"Step 1: Get raster | 192x197, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (192, 197) | Range: -0.457 to 65536.000 | Valid pixels: 19762 | NDVI avg: 0.008 | Green: 2.4% (4.7 m2) | Result: No | SUCCESS",4.67,2.36,467,No,0.0085,0.6965,-0.4567,0.01,19762,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 62x64, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (62, 64) | Range: -0.153 to 0.626 | Valid pixels: 3968 | NDVI avg: 0.310 | Green: 71.9% (28.5 m2) | Result: Yes | SUCCESS",28.52,71.88,2852,Yes,0.3095,0.626,-0.1535,0.01,3968,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 154x190, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (154, 190) | Range: -0.432 to 65536.000 | Valid pixels: 15434 | NDVI avg: 0.029 | Green: 5.0% (7.7 m2) | Result: No | SUCCESS",7.73,5.01,773,No,0.0293,0.7756,-0.4324,0.01,15434,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 116x106, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (116, 106) | Range: -0.181 to 65536.000 | Valid pixels: 6132 | NDVI avg: 0.260 | Green: 37.1% (22.7 m2) | Result: Yes | SUCCESS",22.74,37.08,2274,Yes,0.2596,0.8252,-0.1815,0.01,6132,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 176x186, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (176, 186) | Range: -0.331 to 65536.000 | Valid pixels: 16641 | NDVI avg: 0.082 | Green: 0.5% (0.9 m2) | Result: No | SUCCESS",0.85,0.51,85,No,0.0825,0.3617,-0.331,0.01,16641,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 139x134, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (139, 134) | Range: -0.208 to 65536.000 | Valid pixels: 8069 | NDVI avg: 0.393 | Green: 59.9% (48.3 m2) | Result: Yes | SUCCESS",48.34,59.91,4834,Yes,0.3932,0.8352,-0.2082,0.01,8069,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 301x263, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (301, 263) | Range: -0.390 to 65536.000 | Valid pixels: 42744 | NDVI avg: 0.189 | Green: 28.0% (119.5 m2) | Result: No | SUCCESS",119.49,27.95,11949,No,0.1889,0.7152,-0.3895,0.01,42744,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 149x166, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (149, 166) | Range: -0.540 to 65536.000 | Valid pixels: 13226 | NDVI avg: -0.005 | Green: 0.2% (0.3 m2) | Result: No | SUCCESS",0.31,0.23,31,No,-0.0053,0.4243,-0.5398,0.01,13226,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 232x142, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (232, 142) | Range: -0.490 to 65536.000 | Valid pixels: 23895 | NDVI avg: 0.079 | Green: 2.6% (6.2 m2) | Result: No | SUCCESS",6.19,2.59,619,No,0.079,0.7811,-0.4904,0.01,23895,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 65x92, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (65, 92) | Range: -0.469 to 65536.000 | Valid pixels: 1775 | NDVI avg: -0.271 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0,0,0,No,-0.2715,0.1624,-0.4693,0.01,1775,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 168x213, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (168, 213) | Range: -0.387 to 65536.000 | Valid pixels: 19157 | NDVI avg: -0.037 | Green: 0.2% (0.3 m2) | Result: No | SUCCESS",0.33,0.17,33,No,-0.0366,0.5024,-0.3869,0.01,19157,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 169x182, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (169, 182) | Range: -0.481 to 65536.000 | Valid pixels: 16283 | NDVI avg: 0.020 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0.04,0.02,4,No,0.02,0.4177,-0.481,0.01,16283,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 109x108, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (109, 108) | Range: -0.270 to 65536.000 | Valid pixels: 5177 | NDVI avg: 0.076 | Green: 0.9% (0.5 m2) | Result: No | SUCCESS",0.48,0.93,48,No,0.076,0.3635,-0.2701,0.01,5177,LSB,lzw,BIP
